I	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Proprio	O	O	O	O	
non	O	O	O	O	
viene	O	O	O	O	
stasera	O	O	O	O	
?	O	O	O	O	

—	O	O	O	O	
disse	O	O	O	O	
in	O	O	O	O	
tono	O	O	O	O	
di	O	O	O	O	
rimprovero	O	O	O	O	
Angela	B-PER	O	O	O	
Torralba	I-PER	O	O	O	
al	O	O	O	O	
dottor	B-PER	O	O	O	
Vignoni	I-PER	O	O	O	
che	O	O	O	O	
s	O	O	O	O	
'	O	O	O	O	
avviava	O	O	O	O	
al	O	O	O	O	
cancello	B-FAC	O	O	O	
conducendo	O	O	O	O	
a	O	O	O	O	
mano	O	O	O	O	
la	B-VEH	O	O	O	
sua	I-VEH	O	O	O	
bicicletta	I-VEH	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
No	O	O	O	O	
—	O	O	O	O	
rispose	O	O	O	O	
il	B-PER	O	O	O	
dottore	I-PER	O	O	O	
—	O	O	O	O	
non	O	O	O	O	
vengo	O	O	O	O	
...	O	O	O	O	
Presto	O	O	O	O	
non	O	O	O	O	
potrei	O	O	O	O	
e	O	O	O	O	
tardi	O	O	O	O	
non	O	O	O	O	
voglio	O	O	O	O	
.	O	O	O	O	

Si	O	O	O	O	
preparano	O	O	O	O	
al	O	O	O	O	
suo	B-PER	O	O	O	
babbo	I-PER	O	O	O	
e	O	O	O	O	
alla	O	O	O	O	
sua	B-PER	O	O	O	
mamma	I-PER	O	O	O	
delle	O	O	O	O	
giornate	O	O	O	O	
campali	O	O	O	O	
,	O	O	O	O	
ed	O	O	O	O	
è	O	O	O	O	
bene	O	O	O	O	
che	O	O	O	O	
questa	O	O	O	O	
sera	O	O	O	O	
si	O	O	O	O	
corichino	O	O	O	O	
prima	O	O	O	O	
del	O	O	O	O	
solito	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Persuaderli	O	O	O	O	
!	O	O	O	O	

—	O	O	O	O	
sospirò	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
Angela	B-PER	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Dormono	O	O	O	O	
così	O	O	O	O	
poco	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Non	O	O	O	O	
importa	O	O	O	O	
...	O	O	O	O	
Riposeranno	O	O	O	O	
almeno	O	O	O	O	
...	O	O	O	O	
E	O	O	O	O	
farebbe	O	O	O	O	
bene	O	O	O	O	
a	O	O	O	O	
riposare	O	O	O	O	
anche	O	O	O	O	
lei	O	O	O	O	
.	O	O	O	O	

Ella	O	O	O	O	
si	O	O	O	O	
strinse	O	O	O	O	
nelle	O	O	O	O	
spalle	O	O	O	O	
.	O	O	O	O	

—	O	O	O	O	
Io	O	O	O	O	
?	O	O	O	O	

...	O	O	O	O	
Se	O	O	O	O	
la	O	O	O	O	
