Novella	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
.	O	O	O	O	

Sofia	B-PER	O	O	O	
non	O	O	O	O	
alzava	O	O	O	O	
gli	O	O	O	O	
occhi	O	O	O	O	
dal	O	O	O	O	
suo	O	O	O	O	
lavoro	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
le	O	O	O	O	
sue	O	O	O	O	
dita	O	O	O	O	
leggere	O	O	O	O	
volavano	O	O	O	O	
su	O	O	O	O	
quella	O	O	O	O	
trina	O	O	O	O	
delicata	O	O	O	O	
.	O	O	O	O	

Invece	O	O	O	O	
Lulù	B-PER	O	O	O	
girava	O	O	O	O	
per	O	O	O	O	
la	B-FAC	O	O	O	
camera	I-FAC	O	O	O	
,	O	O	O	O	
spostava	O	O	O	O	
gli	O	O	O	O	
oggettini	O	O	O	O	
sulle	O	O	O	O	
mensole	O	O	O	O	
,	O	O	O	O	
apriva	O	O	O	O	
un	O	O	O	O	
tiretto	O	O	O	O	
per	O	O	O	O	
guardarvi	O	O	O	O	
dentro	O	O	O	O	
,	O	O	O	O	
distratta	O	O	O	O	
;	O	O	O	O	
era	O	O	O	O	
chiaro	O	O	O	O	
che	O	O	O	O	
essa	O	O	O	O	
voleva	O	O	O	O	
fare	O	O	O	O	
o	O	O	O	O	
dire	O	O	O	O	
qualche	O	O	O	O	
cosa	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
che	O	O	O	O	
il	O	O	O	O	
contegno	O	O	O	O	
serio	O	O	O	O	
della	O	O	O	O	
sorella	B-PER	O	O	O	
maggiore	I-PER	O	O	O	
la	O	O	O	O	
metteva	O	O	O	O	
in	O	O	O	O	
soggezione	O	O	O	O	
.	O	O	O	O	

Provò	O	O	O	O	
a	O	O	O	O	
canticchiare	O	O	O	O	
un	O	O	O	O	
po	O	O	O	O	
'	O	O	O	O	
di	O	O	O	O	
canzone	O	O	O	O	
,	O	O	O	O	
disse	O	O	O	O	
un	O	O	O	O	
verso	O	O	O	O	
di	O	O	O	O	
Dall	O	O	O	O	
'	O	O	O	O	
Ongaro	O	O	O	O	
;	O	O	O	O	
Sofia	B-PER	O	O	O	
parve	O	O	O	O	
non	O	O	O	O	
aver	O	O	O	O	
inteso	O	O	O	O	
.	O	O	O	O	

Allora	O	O	O	O	
Lulù	B-PER	O	O	O	
,	O	O	O	O	
che	O	O	O	O	
non	O	O	O	O	
peccava	O	O	O	O	
di	O	O	O	O	
molta	O	O	O	O	
pazienza	O	O	O	O	
,	O	O	O	O	
si	O	O	O	O	
decise	O	O	O	O	
ad	O	O	O	O	
affrontare	O	O	O	O	
la	O	O	O	O	
questione	O	O	O	O	
,	O	O	O	O	
e	O	O	O	O	
piantandosi	O	O	O	O	
davanti	O	O	O	O	
alla	O	O	O	O	
sorella	B-PER	O	O	O	
,	O	O	O	O	
le	O	O	O	O	
chiese	O	O	O	O	
:	O	O	O	O	
--	O	O	O	O	
Sofia	B-PER	O	O	O	
,	O	O	O	O	
sai	O	O	O	O	
quello	O	O	O	O	
che	O	O	O	O	
mi	O	O	O	O	
ha	O	O	O	O	
detto	O	O	O	O	
mademoiselle	B-PER	O	O	O	
Jeannette	I-PER	O	O	O	
?	O	O	O	O	

--	O	O	O	O	
Nulla	O	O	O	O	
di	O	O	O	O	
molto	O	O	O	O	
interessante	O	O	O	O	
,	O	O	O	O	
per	O	O	O	O	
certo	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Ci	O	O	O	O	
siamo	O	O	O	O	
con	O	O	O	O	
una	O	O	O	O	
risposta	O	O	O	O	
secca	O	O	O	O	
e	O	O	O	O	
fredda	O	O	O	O	
,	O	O	O	O	
da	O	O	O	O	
far	O	O	O	O	
venire	O	O	O	O	
i	O	O	O	O	
brividi	O	O	O	O	
in	O	O	O	O	
estate	O	O	O	O	
!	O	O	O	O	

Dove	O	O	O	O	
prendete	O	O	O	O	
il	O	O	O	O	
vostro	O	O	O	O	
gelo	O	O	O	O	
,	O	O	O	O	
o	O	O	O	O	
mia	B-PER	O	O	O	
agghiacciata	I-PER	O	O	O	
sorella	I-PER	O	O	O	
?	O	O	O	O	

--	O	O	O	O	
Lulù	B-PER	O	O	O	
,	O	O	O	O	
sei	O	O	O	O	
una	B-PER	O	O	O	
vera	I-PER	O	O	O	
bambina	I-PER	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Ecco	O	O	O	O	
dove	O	O	O	O	
v	O	O	O	O	
'	O	O	O	O	
ingannate	O	O	O	O	
,	O	O	O	O	
bisavola	O	O	O	O	
del	O	O	O	O	
mio	O	O	O	O	
cuore	O	O	O	O	
;	O	O	O	O	
io	O	O	O	O	
non	O	O	O	O	
sono	O	O	O	O	
una	O	O	O	O	
bambina	O	O	O	O	
,	O	O	O	O	
perchè	O	O	O	O	
mi	O	O	O	O	
marito	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Eh	O	O	O	O	
?!	O	O	O	O	

--	O	O	O	O	
È	O	O	O	O	
appunto	O	O	O	O	
quello	O	O	O	O	
che	O	O	O	O	
mi	O	O	O	O	
ha	O	O	O	O	
detto	O	O	O	O	
Jeannette	B-PER	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Che	O	O	O	O	
imbroglio	O	O	O	O	
!	O	O	O	O	

Io	O	O	O	O	
non	O	O	O	O	
capisco	O	O	O	O	
niente	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Or	O	O	O	O	
ora	O	O	O	O	
,	O	O	O	O	
ti	O	O	O	O	
narrerò	O	O	O	O	
tutto	O	O	O	O	
,	O	O	O	O	
come	O	O	O	O	
si	O	O	O	O	
dice	O	O	O	O	
nei	O	O	O	O	
drammi	O	O	O	O	
.	O	O	O	O	

Ci	O	O	O	O	
sarà	O	O	O	O	
un	O	O	O	O	
racconto	O	O	O	O	
...	O	O	O	O	
ma	O	O	O	O	
Vostra	B-PER	O	O	O	
Serietà	I-PER	O	O	O	
mi	O	O	O	O	
presta	O	O	O	O	
tutta	O	O	O	O	
la	O	O	O	O	
sua	O	O	O	O	
attenzione	O	O	O	O	
?	O	O	O	O	

--	O	O	O	O	
Sì	O	O	O	O	
,	O	O	O	O	
sì	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
sbrigati	O	O	O	O	
.	O	O	O	O	

--	O	O	O	O	
Il	O	O	O	O	
giorno	O	O	O	O	
delle	O	O	O	O	
corse	O	O	O	O	
al	O	O	O	O	
Campo	B-FAC	O	O	O	
di	I-FAC	O	O	O	
Marte	I-FAC	O	O	O	
,	O	O	O	O	
ecco	O	O	O	O	
il	O	O	O	O	
tempo	O	O	O	O	
ed	O	O	O	O	
il	O	O	O	O	
luogo	O	O	O	O	
.	O	O	O	O	

Tu	O	O	O	O	
non	O	O	O	O	
vi	O	O	O	O	
eri	O	O	O	O	
,	O	O	O	O	
tu	O	O	O	O	
che	O	O	O	O	
preferisci	O	O	O	O	
i	O	O	O	O	
tuoi	O	O	O	O	
